model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr,clean_sum_mse,observed_mixture_mse,parameters,inference_time_ms,training_date,training_time_s,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path,model_key,notes,architecture,config_name,noise_level,overlap_level,nonstationarity_level,num_components,seed,model_type,enabled_modules,attention_stem,branch_attention,multiscale_branches,feature_fusion,multiple_heads,bilinear_fusion,dilated_temporal_convs,residual_connections,tcn_backbone,frequency_features,module_count,model_group,macro_corr_rank
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,conv1d,shallow,0.24193774700164794,0.7783056142723406,4.610578527418174,0.11957414794250562,0.027070215222619272,17638.0,6.221500000000102,2026-05-24T17:53:03.188440Z,1292.263188,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches_data_availability_tf075_s42\attention_stem_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches_data_availability_tf075_s42\final_test_report.json,attention_stem_multiple_head_multiscale_branches,Local stem plus adaptive branch attention with independent component heads.,conv1d,,,,,,,SNN,"attention_stem, branch_attention, feature_fusion, multiple_heads, multiscale_branches",True,True,True,True,True,False,False,False,False,False,5,SNN,28.0
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,conv1d,shallow,0.23360004305839538,0.7749844897565077,4.564074220150415,0.1189565726334384,0.031042934862473955,17638.0,2.9734000000019023,2026-04-20T07:49:57.454185Z,436.512663,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches\attention_stem_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches\final_test_report.json,attention_stem_multiple_head_multiscale_branches,Local stem plus adaptive branch attention with independent component heads.,conv1d,,,,,,,SNN,"attention_stem, branch_attention, feature_fusion, multiple_heads, multiscale_branches",True,True,True,True,True,False,False,False,False,False,5,SNN,29.0
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,conv1d,shallow,0.23360004067420959,0.7749844897565077,4.564074220150415,0.1189565726334384,0.031042934862473955,17638.0,6.747880000000083,2026-05-24T17:31:27.800445Z,675.296063,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches_data_availability_tf050_s42\attention_stem_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches_data_availability_tf050_s42\final_test_report.json,attention_stem_multiple_head_multiscale_branches,Local stem plus adaptive branch attention with independent component heads.,conv1d,,,,,,,SNN,"attention_stem, branch_attention, feature_fusion, multiple_heads, multiscale_branches",True,True,True,True,True,False,False,False,False,False,5,SNN,29.0
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,conv1d,shallow,0.2250497055053711,0.7733359485727226,4.594212573826844,0.11345271570830763,0.03761834831191254,17638.0,5.772379999999933,2026-05-24T18:23:46.666836Z,1841.048331,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches_data_availability_tf100_s42\attention_stem_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches_data_availability_tf100_s42\final_test_report.json,attention_stem_multiple_head_multiscale_branches,Local stem plus adaptive branch attention with independent component heads.,conv1d,,,,,,,SNN,"attention_stem, branch_attention, feature_fusion, multiple_heads, multiscale_branches",True,True,True,True,True,False,False,False,False,False,5,SNN,31.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.24427135050296783,0.7730807755070964,4.294729036048174,0.11822918819079405,0.029380035579137154,5859.0,3.4778599999999216,2026-05-24T18:35:40.664220Z,299.722866,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf050_s42\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf050_s42\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,32.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.2587965250015259,0.7701382491892916,4.229549583570884,0.1167720749314239,0.030201510293568535,29302.0,7.945440000000036,2026-05-24T15:39:49.525555Z,494.951999,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf025_s42\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf025_s42\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,33.0
multiscale_branches,Multiscale Branches,conv1d,shallow,0.2542738407850266,0.7685594971155169,4.102684168956858,0.12092028871899935,0.0286263975861129,5859.0,2.202119999999974,2026-05-24T19:54:51.672307Z,398.392646,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf050_s42\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf050_s42\final_test_report.json,multiscale_branches,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,34.0
attention_stem_multi_head_multiscale_tcn,Attention-Stem Multi-Head Multiscale TCN,conv1d,shallow,0.25351643323898315,0.7655401440517334,4.260459985744598,0.12496904592564008,0.028587731330018896,78070.0,16.50140000000011,2026-05-25T14:34:43.471767Z,417.301409,800.0,400.0,400.0,1600.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf010_s42\attention_stem_multi_head_multiscale_tcn_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf010_s42\final_test_report.json,attention_stem_multi_head_multiscale_tcn,,conv1d,,,,,,,SNN,"attention_stem, branch_attention, dilated_temporal_convs, feature_fusion, multiple_heads, multiscale_branches, residual_connections, tcn_backbone",True,True,True,True,True,False,True,True,True,False,8,SNN,36.0
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,conv1d,shallow,0.25438204884529114,0.7650447930175771,4.151476119602357,0.10647604126129029,0.03794910250107141,5859.0,2.2690999999923633,2026-04-20T07:24:26.383586Z,334.07759,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches\multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches\final_test_report.json,multiple_head_multiscale_branches,Shared multiscale branches with independent one-channel component heads.,conv1d,,,,,,,SNN,"feature_fusion, multiple_heads, multiscale_branches",False,False,True,True,True,False,False,False,False,False,3,SNN,37.0
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,conv1d,shallow,0.2543820476531982,0.7650447930175771,4.151476119602357,0.10647604126129029,0.03794910250107141,5859.0,5.308580000000074,2026-05-24T19:08:45.251423Z,490.263265,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches_data_availability_tf050_s42\multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches_data_availability_tf050_s42\final_test_report.json,multiple_head_multiscale_branches,Shared multiscale branches with independent one-channel component heads.,conv1d,,,,,,,SNN,"feature_fusion, multiple_heads, multiscale_branches",False,False,True,True,True,False,False,False,False,False,3,SNN,37.0
