model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr,clean_sum_mse,observed_mixture_mse,parameters,inference_time_ms,training_date,training_time_s,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path,model_key,notes,architecture,config_name,noise_level,overlap_level,nonstationarity_level,num_components,seed,model_type,enabled_modules,attention_stem,branch_attention,multiscale_branches,feature_fusion,multiple_heads,bilinear_fusion,dilated_temporal_convs,residual_connections,tcn_backbone,frequency_features,module_count,model_group,macro_corr_rank
sepformer,SepFormer,sepformer,deep,0.058741808732350666,0.8382588338768542,5.898836887182271,0.036854835324455465,0.18997768352224595,601088.0,6.356600000003709,,3171.22,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,15.0
sepformer,SepFormer,sepformer,deep,0.1839870524406433,0.8305565449570773,5.719980325070204,0.10924063967585301,0.039454724088719334,601088.0,13.138920000000008,2026-05-25T11:05:36.919469Z,3959.092119,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf100_s42\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf100_s42\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,16.0
sepformer,SepFormer,sepformer,deep,0.1977774167060852,0.8203086096643486,5.487244279333515,0.09763249350953174,0.04236244965241676,601088.0,10.904479999999994,2026-05-25T09:09:42.423430Z,2007.1771,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf050_s42\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf050_s42\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,17.0
sepformer,SepFormer,sepformer,deep,0.20305562019348145,0.8198940534929625,5.62974001116567,0.11459436474898611,0.0329606831424667,601088.0,14.294679999999982,2026-05-25T09:59:34.296935Z,2989.189361,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf075_s42\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf075_s42\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,18.0
tasnet,TasNet,tasnet,deep,0.22360240817070007,0.8075201050305948,5.164861149745431,0.11175506561665066,0.033098952891642844,2503296.0,70.56521999999994,2026-05-24T22:14:36.731082Z,1184.359098,800.0,400.0,400.0,1600.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf010_s42\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf010_s42\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,20.0
unet1d,UNet1D,unet,deep,0.23676492929458617,0.7828953477203224,4.938090082953311,0.10655406541484531,0.034811130704847655,2710819.0,21.12927999999989,2026-05-25T05:27:06.979807Z,311.942761,800.0,400.0,400.0,1600.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf010_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf010_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,25.0
sepformer,SepFormer,sepformer,deep,0.24514665722846984,0.7676275131455768,4.448935468404997,0.10554963612230975,0.03560837823924778,601088.0,12.50725999999984,2026-05-25T08:36:12.792511Z,1031.709645,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf025_s42\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf025_s42\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,35.0
tasnet,TasNet,tasnet,deep,0.2829969620704651,0.7283832995869368,3.5058580821334213,0.12888936805777007,0.028860737032017355,2503296.0,67.58404000000003,2026-05-24T21:54:48.477190Z,594.789172,400.0,400.0,400.0,1200.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf005_s42\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf005_s42\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,49.0
unet1d,UNet1D,unet,deep,0.26086281061172484,0.7278440664532222,4.224183800442263,0.11399455393633204,0.0379155204813899,2710819.0,18.177640000000036,2026-05-25T05:21:51.643037Z,201.279979,400.0,400.0,400.0,1200.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf005_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf005_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,50.0
autoencoderbased,Autoencoder,autoencoder,deep,0.1452561894059181,0.6741783837583778,2.8104763653707776,0.19026312245928348,0.027474560047363716,23651.0,1.1769999999984293,2026-04-20T04:37:47.002725Z,478.383541,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\autoencoderbased\autoencoderbased_best.pt,decomposers\ML_methods\NN_based\saved_models\autoencoderbased\final_test_report.json,autoencoderbased,,autoencoder,,,,,,,DNN,,,,,,,,,,,,0,DNN,68.0
rnnbased,RNN (LSTM/GRU),rnn,deep,0.13598472515741983,0.6600607843684333,3.0310544272618682,0.1173467478349743,0.02440180831448266,530179.0,201.3120000000015,,,,,,,,decomposers\ML_methods\NN_based\saved_models\rnnbased\rnnbased_best.pt,decomposers\ML_methods\NN_based\saved_models\rnnbased\final_test_report.json,rnnbased,,rnn,,,,,,,DNN,,,,,,,,,,,,0,DNN,76.0
sepformer,SepFormer,sepformer,deep,0.32304290056228635,0.6559465596016142,2.781145419456438,0.11991482054576298,0.02553639312138734,601088.0,15.731740000000105,2026-05-25T08:18:57.526015Z,396.398976,800.0,400.0,400.0,1600.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf010_s42\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf010_s42\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,78.0
sepformer,SepFormer,sepformer,deep,0.3269845080375671,0.6458356065171705,2.641634626345061,0.13577352055240513,0.02277833708032322,601088.0,12.75501999999995,2026-05-25T08:12:17.990363Z,238.750869,400.0,400.0,400.0,1200.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf005_s42\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf005_s42\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,79.0
