model_name,display_name,model_type,family,architecture,config_name,train_fraction,train_samples,macro_corr,macro_corr_std,macro_corr_min,macro_corr_max,macro_corr_count,macro_snr,macro_snr_std,macro_snr_min,macro_snr_max,macro_snr_count,test_loss,test_loss_std,test_loss_min,test_loss_max,test_loss_count,module_count,module_count_std,module_count_min,module_count_max,module_count_count,parameters,parameters_std,parameters_min,parameters_max,parameters_count,inference_time_ms,inference_time_ms_std,inference_time_ms_min,inference_time_ms_max,inference_time_ms_count,training_time_s,training_time_s_std,training_time_s_min,training_time_s_max,training_time_s_count,peak_memory_mb,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,total_flops,total_flops_std,total_flops_min,total_flops_max,total_flops_count,estimated_energy,estimated_energy_std,estimated_energy_min,estimated_energy_max,estimated_energy_count,accuracy_per_training_second,accuracy_per_training_second_std,accuracy_per_training_second_min,accuracy_per_training_second_max,accuracy_per_training_second_count,snr_per_training_second,snr_per_training_second_std,snr_per_training_second_min,snr_per_training_second_max,snr_per_training_second_count,accuracy_per_1000_parameters,accuracy_per_1000_parameters_std,accuracy_per_1000_parameters_min,accuracy_per_1000_parameters_max,accuracy_per_1000_parameters_count,snr_per_1000_parameters,snr_per_1000_parameters_std,snr_per_1000_parameters_min,snr_per_1000_parameters_max,snr_per_1000_parameters_count,accuracy_per_inference_ms,accuracy_per_inference_ms_std,accuracy_per_inference_ms_min,accuracy_per_inference_ms_max,accuracy_per_inference_ms_count,snr_per_inference_ms,snr_per_inference_ms_std,snr_per_inference_ms_min,snr_per_inference_ms_max,snr_per_inference_ms_count,accuracy_per_sample,accuracy_per_sample_std,accuracy_per_sample_min,accuracy_per_sample_max,accuracy_per_sample_count,seed_count,macro_corr_sem,macro_corr_ci95,macro_snr_sem,macro_snr_ci95,test_loss_sem,test_loss_ci95
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,0.25,2000.0,0.7701382491892916,,0.7701382491892916,0.7701382491892916,1,4.229549583570884,,4.229549583570884,4.229549583570884,1,0.2587965250015259,,0.2587965250015259,0.2587965250015259,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,7.945440000000036,,7.945440000000036,7.945440000000036,1,494.951999,,494.951999,494.951999,1,,,,,0,,,,,0,,,,,0,0.0015559857334555218,,0.0015559857334555218,0.0015559857334555218,1,0.008545373272794648,,0.008545373272794648,0.008545373272794648,1,0.026282787836642264,,0.026282787836642264,0.026282787836642264,1,0.14434337531809718,,0.14434337531809718,0.14434337531809718,1,0.09692833237546167,,0.09692833237546167,0.09692833237546167,1,0.5323241486400834,,0.5323241486400834,0.5323241486400834,1,0.00038506912459464583,,0.00038506912459464583,0.00038506912459464583,1,1,,,,,,
multiscale_branches,Multiscale Branches,SNN,conv1d,conv1d,,0.5,4000.0,0.7685594971155169,,0.7685594971155169,0.7685594971155169,1,4.102684168956858,,4.102684168956858,4.102684168956858,1,0.2542738407850266,,0.2542738407850266,0.2542738407850266,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,2.202119999999974,,2.202119999999974,2.202119999999974,1,398.392646,,398.392646,398.392646,1,,,,,0,,,,,0,,,,,0,0.0019291508134804197,,0.0019291508134804197,0.0019291508134804197,1,0.010298092121300999,,0.010298092121300999,0.010298092121300999,1,0.1311758827642118,,0.1311758827642118,0.1311758827642118,1,0.7002362466217543,,0.7002362466217543,0.7002362466217543,1,0.34900890828634495,,0.34900890828634495,0.34900890828634495,1,1.8630611269853172,,1.8630611269853172,1.8630611269853172,1,0.00019213987427887922,,0.00019213987427887922,0.00019213987427887922,1,1,,,,,,
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,SNN,conv1d,conv1d,,0.5,4000.0,0.7650447930175771,0.0,0.7650447930175771,0.7650447930175771,2,4.151476119602357,0.0,4.151476119602357,4.151476119602357,2,0.2543820482492447,8.429369710029266e-10,0.2543820476531982,0.25438204884529114,2,3.0,0.0,3,3,2,5859.0,0.0,5859.0,5859.0,2,5.0035400000008945,0.43139170506512825,4.698500000001715,5.308580000000074,2,412.17042749999996,110.43994991669821,334.07759,490.263265,2,,,,,0,,,,,0,,,,,0,0.001925249392997378,0.0005158653613978264,0.0015604774977737259,0.00229002128822103,2,0.010447266555180534,0.0027993167829114454,0.008467850675294541,0.012426682435066528,2,0.13057600153909832,0.0,0.13057600153909832,0.13057600153909832,2,0.7085639391709092,0.0,0.7085639391709092,0.7085639391709092,2,0.15347111272910097,0.013231864839381232,0.14411477137343065,0.16282745408477128,2,0.8328030794518795,0.07180203224680361,0.7820313755471895,0.8835747833565695,2,0.0001912611982543943,0.0,0.0001912611982543943,0.0001912611982543943,2,2,0.0,0.0,0.0,0.0,5.960464483090176e-10,1.1682510386856744e-09
multiscale_branches,Multiscale Branches,SNN,conv1d,conv1d,,0.564,4512.0,0.7638261500377372,,0.7638261500377372,0.7638261500377372,1,4.142691879951573,,4.142691879951573,4.142691879951573,1,0.2485169994831085,,0.2485169994831085,0.2485169994831085,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,3.4690000000008325,,3.4690000000008325,3.4690000000008325,1,561.925048,,561.925048,561.925048,1,,,,,0,,,,,0,,,,,0,0.0013593025489010366,,0.0013593025489010366,0.0013593025489010366,1,0.007372321085696777,,0.007372321085696777,0.007372321085696777,1,0.13036800649218933,,0.13036800649218933,0.13036800649218933,1,0.7070646663170461,,0.7070646663170461,0.7070646663170461,1,0.2201862640638668,,0.2201862640638668,0.2201862640638668,1,1.1942034822573016,,1.1942034822573016,1.1942034822573016,1,0.00016928771055800914,,0.00016928771055800914,0.00016928771055800914,1,1,,,,,,
fuse_shallow,Fuse Shallow,SNN,conv1d,conv1d,,1.0,8000.0,0.7636496894382079,,0.7636496894382079,0.7636496894382079,1,4.174924987546542,,4.174924987546542,4.174924987546542,1,0.23782610535621643,,0.23782610535621643,0.23782610535621643,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,3.1576600000000177,,3.1576600000000177,3.1576600000000177,1,564.911788,,564.911788,564.911788,1,,,,,0,,,,,0,,,,,0,0.0013518034242864974,,0.0013518034242864974,0.0013518034242864974,1,0.007390401610005954,,0.007390401610005954,0.007390401610005954,1,0.13033788862232598,,0.13033788862232598,0.13033788862232598,1,0.7125661354406114,,0.7125661354406114,0.7125661354406114,1,0.24184037845689643,,0.24184037845689643,0.24184037845689643,1,1.322157859790642,,1.322157859790642,1.322157859790642,1,9.545621117977598e-05,,9.545621117977598e-05,9.545621117977598e-05,1,1,,,,,,
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,0.25,2000.0,0.760144564179432,,0.760144564179432,0.760144564179432,1,4.191715089871788,,4.191715089871788,4.191715089871788,1,0.26213231921195984,,0.26213231921195984,0.26213231921195984,1,5.0,,5,5,1,17638.0,,17638.0,17638.0,1,6.234919999999899,,6.234919999999899,6.234919999999899,1,357.86187,,357.86187,357.86187,1,,,,,0,,,,,0,,,,,0,0.002124128407922956,,0.002124128407922956,0.002124128407922956,1,0.011713220773903035,,0.011713220773903035,0.011713220773903035,1,0.043096981754134935,,0.043096981754134935,0.043096981754134935,1,0.23765251671798318,,0.23765251671798318,0.23765251671798318,1,0.1219172923116005,,0.1219172923116005,0.1219172923116005,1,0.6722965314505808,,0.6722965314505808,0.6722965314505808,1,0.000380072282089716,,0.000380072282089716,0.000380072282089716,1,1,,,,,,
multiscale_branches,Multiscale Branches,SNN,conv1d,conv1d,,0.75,6000.0,0.7600070324764835,,0.7600070324764835,0.7600070324764835,1,4.271478703986942,,4.271478703986942,4.271478703986942,1,0.2598441231250763,,0.2598441231250763,0.2598441231250763,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,4.958219999999969,,4.958219999999969,4.958219999999969,1,606.506641,,606.506641,606.506641,1,,,,,0,,,,,0,,,,,0,0.001253089382868742,,0.001253089382868742,0.001253089382868742,1,0.007042756690914687,,0.007042756690914687,0.007042756690914687,1,0.129716168710784,,0.129716168710784,0.129716168710784,1,0.7290456910713333,,0.7290456910713333,0.7290456910713333,1,0.15328223283284895,,0.15328223283284895,0.15328223283284895,1,0.8614943879027087,,0.8614943879027087,0.8614943879027087,1,0.00012666783874608058,,0.00012666783874608058,0.00012666783874608058,1,1,,,,,,
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,SNN,conv1d,conv1d,,1.0,8000.0,0.7587463058694959,,0.7587463058694959,0.7587463058694959,1,4.259531808514342,,4.259531808514342,4.259531808514342,1,0.24070016622543336,,0.24070016622543336,0.24070016622543336,1,3.0,,3,3,1,5859.0,,5859.0,5859.0,1,4.473500000000108,,4.473500000000108,4.473500000000108,1,1179.774093,,1179.774093,1179.774093,1,,,,,0,,,,,0,,,,,0,0.0006431284687224403,,0.0006431284687224403,0.0006431284687224403,1,0.003610463930160519,,0.003610463930160519,0.003610463930160519,1,0.1295009909318136,,0.1295009909318136,0.1295009909318136,1,0.7270066237437006,,0.7270066237437006,0.7270066237437006,1,0.16960909933373813,,0.16960909933373813,0.16960909933373813,1,0.9521698465439229,,0.9521698465439229,0.9521698465439229,1,9.484328823368699e-05,,9.484328823368699e-05,9.484328823368699e-05,1,1,,,,,,
multiscale_branches,Multiscale Branches,SNN,conv1d,conv1d,,1.0,8000.0,0.7555616344133261,,0.7555616344133261,0.7555616344133261,1,4.21538645085008,,4.21538645085008,4.21538645085008,1,0.24092302918434144,,0.24092302918434144,0.24092302918434144,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,3.423500000000068,,3.423500000000068,3.423500000000068,1,1040.581746,,1040.581746,1040.581746,1,,,,,0,,,,,0,,,,,0,0.00072609541472134,,0.00072609541472134,0.00072609541472134,1,0.004050990195680484,,0.004050990195680484,0.004050990195680484,1,0.12895743888262948,,0.12895743888262948,0.12895743888262948,1,0.7194720004864447,,0.7194720004864447,0.7194720004864447,1,0.220698593373247,,0.220698593373247,0.220698593373247,1,1.2313090260990203,,1.2313090260990203,1.2313090260990203,1,9.444520430166576e-05,,9.444520430166576e-05,9.444520430166576e-05,1,1,,,,,,
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,SNN,conv1d,conv1d,,0.75,6000.0,0.7540695525949578,,0.7540695525949578,0.7540695525949578,1,4.197023641167642,,4.197023641167642,4.197023641167642,1,0.26074561595916745,,0.26074561595916745,0.26074561595916745,1,3.0,,3,3,1,5859.0,,5859.0,5859.0,1,4.4393600000000255,,4.4393600000000255,4.4393600000000255,1,765.825063,,765.825063,765.825063,1,,,,,0,,,,,0,,,,,0,0.0009846498750524148,,0.0009846498750524148,0.0009846498750524148,1,0.005480394732351091,,0.005480394732351091,0.005480394732351091,1,0.12870277395373916,,0.12870277395373916,0.12870277395373916,1,0.7163378803836221,,0.7163378803836221,0.7163378803836221,1,0.16985996913855902,,0.16985996913855902,0.16985996913855902,1,0.9454118704425003,,0.9454118704425003,0.9454118704425003,1,0.00012567825876582628,,0.00012567825876582628,0.00012567825876582628,1,1,,,,,,
