display_name,model_type,accuracy_per_training_second,accuracy_per_1000_parameters,accuracy_per_inference_ms,accuracy_per_sample,macro_corr
conv1Dnetwork,SNN,0.001508011396342427,0.12667757469455174,0.6631523641126382,0.00011491767317707418,0.6895060390624451
Multiscale Dilated,SNN,0.0014736068362543964,0.05301759430638897,0.20960406376829954,0.00015119179652932336,0.682177385940307
Attention-Stem Multi-Head Multiscale Branches,SNN,0.0014615107992074655,0.04393834276882343,0.1006042096131296,0.0001937461224391269,0.7749844897565077
Autoencoder,DNN,0.001438832330622526,0.029102943014184885,0.1277731028825687,0.00015255179637156175,0.6883137052284867
Multiscale Dilated,SNN,0.0013846622827795032,0.052673377017904914,0.1984726404581861,0.0001129580570148971,0.6777483420893826
Multiscale Branches,SNN,0.0013593025489010366,0.13036800649218933,0.2201862640638668,0.00016928771055800914,0.7638261500377372
Fuse Shallow,SNN,0.0013518034242864974,0.13033788862232598,0.24184037845689643,9.545621117977598e-05,0.7636496894382079
UNet1D,DNN,0.0012632234024887417,0.00031091966470557703,0.045849458875820814,0.0004214234672787538,0.8428469345575076
Multiscale Branches,SNN,0.001253089382868742,0.129716168710784,0.15328223283284895,0.00012666783874608058,0.7600070324764835
TasNet,DNN,0.0012246075313337022,0.0002909697053752081,0.010777445378922841,0.001820958248967342,0.7283832995869368
SingleHead MLP,SNN,0.001173626413172558,0.865095257089096,0.7614733063767912,9.270937505138145e-05,0.5562562503082887
conv1Dnetwork,SNN,0.0010955321626347607,0.12514246926413047,0.36826109956785746,8.514380752558276e-05,0.6811504602046621
Multiscale Dilated,SNN,0.001086641657240761,0.05344218178542211,0.2247441065455073,8.595506912912828e-05,0.6876405530330263
Multiple-Head Multiscale Branches,SNN,0.0009846498750524148,0.12870277395373916,0.16985996913855902,0.00012567825876582628,0.7540695525949578
SingleHead MLP,SNN,0.0009288656113724389,0.8641128034536798,0.7560546096336995,0.00012314373506664808,0.5556245326207161
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.0008190034487025803,0.02720457993645639,0.10679253439606662,0.0001992871503245113,0.7971486012980452
SingleHead MLP,SNN,0.0008025653585131363,0.867022801159085,1.7379377178915645,6.968695764316146e-05,0.5574956611452917
UNet1D,DNN,0.0007952434213542679,0.00032384064621338813,0.023310127207944554,0.00019456413491301654,0.8778733767275306
SepFormer,DNN,0.0007440344450260295,0.0012770634468589903,0.0613745547102712,0.00038381375657278835,0.7676275131455768
Multiscale Branches,SNN,0.00072609541472134,0.12895743888262948,0.220698593373247,9.444520430166576e-05,0.7555616344133261
TasNet,DNN,0.000681820324928677,0.000322582748916067,0.011443599340164963,0.0010094001312882434,0.8075201050305948
Multiple-Head Multiscale Branches,SNN,0.0006431284687224403,0.1295009909318136,0.16960909933373813,9.484328823368699e-05,0.7587463058694959
Attention-Stem Multi-Head Multiscale Branches,SNN,0.0006022810380267062,0.044126636482160135,0.12509935132561725,0.00012971760237872343,0.7783056142723406
UNet1D,DNN,0.0004483061649459206,0.0003241429797917234,0.03725630561083636,0.00021967323708400497,0.8786929483360199
Attention-Stem Multi-Head Multiscale Branches,SNN,0.0004200519538521135,0.04384487745621513,0.13397176703071031,9.666699357159032e-05,0.7733359485727226
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.0004182680086682362,0.02718158785017025,0.09522541423293557,0.00013274581453094812,0.7964748871856887
SepFormer,DNN,0.00040868770855563693,0.0013647063485951285,0.07522675172629498,0.00020507715241608715,0.8203086096643486
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.0003216659199961974,0.02724322772341561,0.08510967165966483,9.978513234394053e-05,0.7982810587515242
TasNet,DNN,0.00031548269129832936,0.0003476316121769793,0.013572344901722351,0.00043511241211809175,0.8702248242361835
UNet1D,DNN,0.00029492163676052285,0.00032464092930308014,0.04383019411510884,0.00014667379988874107,0.8800427993324463
SepFormer,DNN,0.0002742864216600437,0.0013640166722559135,0.057356586750662734,0.00013664900891549375,0.8198940534929625
SepFormer,DNN,0.00026533937483611133,0.0013998774426835555,0.04117889460055689,0.000186491474350127,0.841449532267773
TasNet,DNN,0.00022772178074579306,0.00037332768207214314,0.010760057075589883,0.0002071253752704937,0.9345496932204675
UNet1D,DNN,0.00022102157784882628,0.0003298327654757526,0.04119826711021412,0.00011176461593427678,0.8941169274742142
SepFormer,DNN,0.00020978459707243739,0.001381755325271969,0.06321345627776688,0.00010381956811963466,0.8305565449570773
TasNet,DNN,0.0001770029965441035,0.0003655708974977695,0.013938953541743257,0.00022878304135564407,0.9151321654225762
TasNet,DNN,0.0001237638015245563,0.0003665643139927396,0.014756778408474645,0.00015293649682679482,0.9176189809607689
TasNet,DNN,9.280288740088487e-05,0.0003733940215008223,0.01534914168834954,0.00011683947005586531,0.9347157604469225
unet1d_pure_harmonic_amfm_chirp_trend_transient,DNN,,,,,0.8721274239793777
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,,0.02742593556224904,0.06652054994164441,,0.8036347638450214
RNN (LSTM/GRU),DNN,,0.0012509585166482278,0.00183343912345827,,0.6632319353980407
Three Parallel Shallow Branches,SNN,,0.09918183855409168,0.029557501555854928,,0.12407648003116868
Shallow Conv1D,SNN,,,,,
