display_name,depth_label,macro_corr,macro_snr_db,test_loss
Three Parallel Shallow Branches,shallow,0.12407648003116868,-3.8205103638706106,0.5263050643603007
Attention-Stem Multi-Head Multiscale TCN,shallow,0.4915673365656771,1.5446327967959665,0.4651069976389408
SingleHead MLP,shallow,0.5524348770256818,1.3307684272074647,0.4124495816230774
SingleHead MLP,shallow,0.5553549734260346,1.3656001177497086,0.4149801516532898
SingleHead MLP,shallow,0.5556245326207161,1.3829598739508744,0.18856770356496175
