model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr_db,clean_sum_mse,observed_mixture_mse,parameter_count,inference_time_ms,training_date,training_time_sec,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,conv1d,shallow,0.2336000430583953,0.8149844897565077,4.564074220150415,0.1189565726334384,0.0310429348624739,17638.0,8.69170000001418,2026-04-20T07:49:57.454185Z,436.512663,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches\attention_stem_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches\final_test_report.json
autoencoderbased,Autoencoder,autoencoder,deep,0.1366299353043238,0.6892610657551134,3.006870238502754,0.2009378902568177,0.02559231876022,23651.0,1.1756000000104905,2026-04-20T04:37:47.002725Z,478.383541,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\autoencoderbased\autoencoderbased_best.pt,decomposers\ML_methods\NN_based\saved_models\autoencoderbased\final_test_report.json
conv1Dnetwork,conv1Dnetwork,unknown,unknown,0.1438084538777669,0.6894844372872784,2.939691239799467,0.1219150066239687,0.0225067481853731,5443.0,0.8225999999922351,2026-04-20T04:37:09.811622Z,441.119436,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\conv1Dnetwork\conv1Dnetwork_best.pt,decomposers\ML_methods\NN_based\saved_models\conv1Dnetwork\final_test_report.json
fuse_shallow,Fuse Shallow,conv1d,shallow,0.0964177433649698,0.768617190581319,4.281779277902695,0.118939109975411,0.0334478069112269,5859.0,1.775000000009186,2026-04-20T04:36:29.173990Z,400.423291,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow\final_test_report.json
mlp_singlehead,SingleHead MLP,mlp,shallow,0.1859661380449931,0.5540489846287362,1.385678942790566,0.1492255352090319,0.0094595671991246,643.0,0.4018999999857442,2026-04-20T04:39:46.885563Z,598.175372,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\mlp_singlehead\mlp_singlehead_best.pt,decomposers\ML_methods\NN_based\saved_models\mlp_singlehead\final_test_report.json
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,conv1d,shallow,0.2543820488452911,0.8040447930175771,4.151476119602357,0.1064760412612902,0.0379491025010714,5859.0,2.199100000012777,2026-04-20T07:24:26.383586Z,334.07759,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches\multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches\final_test_report.json
multiscale_branches,Multiscale Branches,conv1d,shallow,0.2485169994831085,0.7748261500377372,4.142691879951573,0.1055724263474139,0.0338613730512878,5859.0,2.1741000000190525,2026-04-20T04:39:10.647747Z,561.925048,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches\final_test_report.json
multiscale_dilated,Multiscale Dilated,conv1d,shallow,0.126825536986192,0.7864593010904712,2.880585537731229,0.116187485187132,0.0288968767458191,12867.0,2.089900000015632,2026-04-20T04:37:31.663088Z,462.930389,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_dilated\multiscale_dilated_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_dilated\final_test_report.json
rnnbased,RNN (LSTM/GRU),rnn,deep,0.1372316900889078,0.6699763957671111,3.0914635559892103,0.1125998618770516,0.0241287682791972,530179.0,217.00490000000627,,,,,,,,decomposers\ML_methods\NN_based\saved_models\rnnbased\rnnbased_best.pt,decomposers\ML_methods\NN_based\saved_models\rnnbased\final_test_report.json
sepformer,SepFormer,sepformer,deep,0.05727115213871,0.8474573144864681,6.258229035283625,0.0319941997614095,0.1951447777291293,601088.0,5.654399999997395,,,,,,,,decomposers\ML_methods\NN_based\saved_models\sepformer\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer\final_test_report.json
tasnet,TasNet,tasnet,deep,0.0315577140450477,0.936746602043014,9.387658606105326,0.0326501522828923,0.1836614708032354,2503296.0,29.392700000016703,,,,,,,,decomposers\ML_methods\NN_based\saved_models\tasnet\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet\final_test_report.json
three_parallel_shallow_branches,Three Parallel Shallow Branches,conv1d,shallow,0.5263050643603007,0.1240764800311686,-3.8205103638706106,1.3489058645566303,0.7550410290559133,1251.0,1.3736999999878208,,,,,,,,decomposers/ML_methods/NN_based/saved_models/three_parallel_shallow_branches/three_parallel_shallow_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\three_parallel_shallow_branches\final_test_report.json
unet1d,UNet1D,unet,deep,0.0562770131230354,0.8742399833324765,6.850062908223954,0.1084009986613434,0.0384528991646632,2710819.0,10.250900000016829,2026-04-20T04:48:12.542420Z,1103.905236,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d\final_test_report.json
unet1d_pure_harmonic_amfm_chirp_trend_transient,unet1d_pure_harmonic_amfm_chirp_trend_transient,unknown,unknown,0.0377409849315881,0.8721274239793777,7.174882978804903,0.0358088064883741,0.3404415170213548,,,,,,,,,,decomposers\ML_methods\NN_based\saved_models\unet1d_pure_harmonic_amfm_chirp_trend_transient\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_pure_harmonic_amfm_chirp_trend_transient\final_test_report.json
TCN shallow,TCN shallow,conv1d,shallow,0.227401055069187,0.8201248337715072,2.980285537731229,0.1165009986613434,0.0310429348624739,27432.0,1.775000000009186,2026-04-20T07:49:57.454185Z,476.234663,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches\attention_stem_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches\final_test_report.json
