model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr_db,clean_sum_mse,observed_mixture_mse,parameter_count,inference_time_ms,training_date,training_time_sec,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,conv1d,shallow,0.23360004305839538,0.8149844897565077,4.564074220150415,0.1189565726334384,0.031042934862473955,17638.0,8.69170000001418,2026-04-20T07:49:57.454185Z,436.512663,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches\attention_stem_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches\final_test_report.json
autoencoderbased,Autoencoder,autoencoder,deep,0.13662993530432382,0.6892610657551134,3.006870238502754,0.20093789025681777,0.025592318760220036,23651.0,1.1756000000104905,2026-04-20T04:37:47.002725Z,478.383541,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\autoencoderbased\autoencoderbased_best.pt,decomposers\ML_methods\NN_based\saved_models\autoencoderbased\final_test_report.json
conv1Dnetwork,conv1Dnetwork,unknown,unknown,0.14380845387776692,0.6894844372872784,2.939691239799467,0.12191500662396872,0.02250674818537318,5443.0,0.8225999999922351,2026-04-20T04:37:09.811622Z,441.119436,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\conv1Dnetwork\conv1Dnetwork_best.pt,decomposers\ML_methods\NN_based\saved_models\conv1Dnetwork\final_test_report.json
fuse_shallow,Fuse Shallow,conv1d,shallow,0.09641774336496989,0.768617190581319,4.281779277902695,0.11893910997541103,0.03344780691122696,5859.0,1.775000000009186,2026-04-20T04:36:29.173990Z,400.423291,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow\final_test_report.json
mlp_singlehead,SingleHead MLP,mlp,shallow,0.1859661380449931,0.5540489846287362,1.385678942790566,0.14922553520903198,0.009459567199124688,643.0,0.4018999999857442,2026-04-20T04:39:46.885563Z,598.175372,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\mlp_singlehead\mlp_singlehead_best.pt,decomposers\ML_methods\NN_based\saved_models\mlp_singlehead\final_test_report.json
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,conv1d,shallow,0.25438204884529114,0.8040447930175771,4.151476119602357,0.10647604126129029,0.03794910250107141,5859.0,2.199100000012777,2026-04-20T07:24:26.383586Z,334.07759,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches\multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches\final_test_report.json
multiscale_branches,Multiscale Branches,conv1d,shallow,0.2485169994831085,0.7748261500377372,4.142691879951573,0.10557242634741396,0.0338613730512878,5859.0,2.1741000000190525,2026-04-20T04:39:10.647747Z,561.925048,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches\final_test_report.json
multiscale_dilated,Multiscale Dilated,conv1d,shallow,0.12682553698619206,0.7864593010904712,2.880585537731229,0.11618748518713201,0.02889687674581913,12867.0,2.089900000015632,2026-04-20T04:37:31.663088Z,462.930389,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_dilated\multiscale_dilated_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_dilated\final_test_report.json
rnnbased,RNN (LSTM/GRU),rnn,deep,0.13723169008890787,0.6699763957671111,3.0914635559892103,0.11259986187705166,0.02412876827919727,530179.0,217.00490000000627,,,,,,,,decomposers\ML_methods\NN_based\saved_models\rnnbased\rnnbased_best.pt,decomposers\ML_methods\NN_based\saved_models\rnnbased\final_test_report.json
sepformer,SepFormer,sepformer,deep,0.05727115213871002,0.8474573144864681,6.258229035283625,0.031994199761409575,0.19514477772912936,601088.0,5.654399999997395,,,,,,,,decomposers\ML_methods\NN_based\saved_models\sepformer\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer\final_test_report.json
