run_id,model,depth_label,status,generation_mode,signal_type,n_components,selected_component_types,noise_level,duration,fs,train_samples,val_samples,test_samples,total_samples,train_fraction
af7bb427e622,autoencoderbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
ea66593bf6e7,autoencoderbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
522024e61ff7,autoencoderbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
8a62d85cefb6,autoencoderbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
fba0e066cdb3,fuse_shallow,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
477c2738838a,fuse_shallow,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
f9983898fb21,fuse_shallow,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
96d73b23db7f,fuse_shallow,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
00e81a8615aa,fuse_shallow,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
4b3226242c22,fuse_shallow,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
043789daecc3,multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
fed7d7e08a37,multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
0488152fced0,multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
c7e4f3e6caf3,multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
efa8ec71b8d0,multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
a4923723ba70,multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
beeff342e942,multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
82c2bedacd98,multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
