train_fraction,model_name,display_name,model_type,family,architecture,config_name,train_samples,macro_corr,macro_corr_std,macro_corr_min,macro_corr_max,macro_corr_count,macro_snr,macro_snr_std,macro_snr_min,macro_snr_max,macro_snr_count,test_loss,test_loss_std,test_loss_min,test_loss_max,test_loss_count,module_count,module_count_std,module_count_min,module_count_max,module_count_count,parameters,parameters_std,parameters_min,parameters_max,parameters_count,inference_time_ms,inference_time_ms_std,inference_time_ms_min,inference_time_ms_max,inference_time_ms_count,training_time_s,training_time_s_std,training_time_s_min,training_time_s_max,training_time_s_count,peak_memory_mb,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,total_flops,total_flops_std,total_flops_min,total_flops_max,total_flops_count,estimated_energy,estimated_energy_std,estimated_energy_min,estimated_energy_max,estimated_energy_count,accuracy_per_training_second,accuracy_per_training_second_std,accuracy_per_training_second_min,accuracy_per_training_second_max,accuracy_per_training_second_count,snr_per_training_second,snr_per_training_second_std,snr_per_training_second_min,snr_per_training_second_max,snr_per_training_second_count,accuracy_per_1000_parameters,accuracy_per_1000_parameters_std,accuracy_per_1000_parameters_min,accuracy_per_1000_parameters_max,accuracy_per_1000_parameters_count,snr_per_1000_parameters,snr_per_1000_parameters_std,snr_per_1000_parameters_min,snr_per_1000_parameters_max,snr_per_1000_parameters_count,accuracy_per_inference_ms,accuracy_per_inference_ms_std,accuracy_per_inference_ms_min,accuracy_per_inference_ms_max,accuracy_per_inference_ms_count,snr_per_inference_ms,snr_per_inference_ms_std,snr_per_inference_ms_min,snr_per_inference_ms_max,snr_per_inference_ms_count,accuracy_per_sample,accuracy_per_sample_std,accuracy_per_sample_min,accuracy_per_sample_max,accuracy_per_sample_count,seed_count,macro_corr_sem,macro_corr_ci95,macro_snr_sem,macro_snr_ci95,test_loss_sem,test_loss_ci95
0.05,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,400.0,0.6900776728398348,,0.6900776728398348,0.6900776728398348,1,2.9642220985020797,,2.9642220985020797,2.9642220985020797,1,0.31393449306488036,,0.31393449306488036,0.31393449306488036,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,8.350439999999981,,8.350439999999981,8.350439999999981,1,162.839033,,162.839033,162.839033,1,,,,,0,,,,,0,,,,,0,0.0042377902897509515,,0.0042377902897509515,0.0042377902897509515,1,0.018203387995445047,,0.018203387995445047,0.018203387995445047,1,0.023550531459962967,,0.023550531459962967,0.023550531459962967,1,0.10116108451648624,,0.10116108451648624,0.10116108451648624,1,0.08263967800976192,,0.08263967800976192,0.08263967800976192,1,0.3549779530781715,,0.3549779530781715,0.3549779530781715,1,0.001725194182099587,,0.001725194182099587,0.001725194182099587,1,1,,,,,,
0.06666666666666667,mlp_singlehead,SingleHead MLP,SNN,mlp,mlp,,400.0,0.5524348770256818,,0.5524348770256818,0.5524348770256818,1,1.3307684272074647,,1.3307684272074647,1.3307684272074647,1,0.4124495816230774,,0.4124495816230774,0.4124495816230774,1,0.0,,0,0,1,643.0,,643.0,643.0,1,0.5426400000001053,,0.5426400000001053,0.5426400000001053,1,62.012891,,62.012891,62.012891,1,,,,,0,,,,,0,,,,,0,0.008908387725798524,,0.008908387725798524,0.008908387725798524,1,0.021459545035684025,,0.021459545035684025,0.021459545035684025,1,0.859152219324544,,0.859152219324544,0.859152219324544,1,2.069624303588592,,2.069624303588592,2.069624303588592,1,1.01805041468667,,1.01805041468667,1.01805041468667,1,2.452396482395707,,2.452396482395707,2.452396482395707,1,0.0013810871925642046,,0.0013810871925642046,0.0013810871925642046,1,1,,,,,,
0.1,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,800.0,0.7182749824617158,,0.7182749824617158,0.7182749824617158,1,3.412512051069135,,3.412512051069135,3.412512051069135,1,0.292749400138855,,0.292749400138855,0.292749400138855,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,13.618039999999974,,13.618039999999974,13.618039999999974,1,262.851488,,262.851488,262.851488,1,,,,,0,,,,,0,,,,,0,0.002732626655176918,,0.002732626655176918,0.002732626655176918,1,0.012982662099554615,,0.012982662099554615,0.012982662099554615,1,0.02451283129007289,,0.02451283129007289,0.02451283129007289,1,0.11646003860040732,,0.11646003860040732,0.11646003860040732,1,0.05274437308612085,,0.05274437308612085,0.05274437308612085,1,0.25058760666506646,,0.25058760666506646,0.25058760666506646,1,0.0008978437280771447,,0.0008978437280771447,0.0008978437280771447,1,1,,,,,,
0.13333333333333333,mlp_singlehead,SingleHead MLP,SNN,mlp,mlp,,800.0,0.5563302583228422,,0.5563302583228422,0.5563302583228422,1,1.315987354158595,,1.315987354158595,1.315987354158595,1,0.4053985369205475,,0.4053985369205475,0.4053985369205475,1,0.0,,0,0,1,643.0,,643.0,643.0,1,0.7144199999999046,,0.7144199999999046,0.7144199999999046,1,90.5334,,90.5334,90.5334,1,,,,,0,,,,,0,,,,,0,0.006145027783368814,,0.006145027783368814,0.006145027783368814,1,0.014535932088694282,,0.014535932088694282,0.014535932088694282,1,0.8652103550899568,,0.8652103550899568,0.8652103550899568,1,2.0466366316618894,,2.0466366316618894,2.0466366316618894,1,0.7787159630510295,,0.7787159630510295,0.7787159630510295,1,1.8420359930555845,,1.8420359930555845,1.8420359930555845,1,0.0006954128229035528,,0.0006954128229035528,0.0006954128229035528,1,1,,,,,,
0.25,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,2000.0,0.7701382491892916,,0.7701382491892916,0.7701382491892916,1,4.229549583570884,,4.229549583570884,4.229549583570884,1,0.2587965250015259,,0.2587965250015259,0.2587965250015259,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,7.945440000000036,,7.945440000000036,7.945440000000036,1,494.951999,,494.951999,494.951999,1,,,,,0,,,,,0,,,,,0,0.0015559857334555218,,0.0015559857334555218,0.0015559857334555218,1,0.008545373272794648,,0.008545373272794648,0.008545373272794648,1,0.026282787836642264,,0.026282787836642264,0.026282787836642264,1,0.14434337531809718,,0.14434337531809718,0.14434337531809718,1,0.09692833237546167,,0.09692833237546167,0.09692833237546167,1,0.5323241486400834,,0.5323241486400834,0.5323241486400834,1,0.00038506912459464583,,0.00038506912459464583,0.00038506912459464583,1,1,,,,,,
0.3333333333333333,mlp_singlehead,SingleHead MLP,SNN,mlp,mlp,,2000.0,0.5553549734260346,,0.5553549734260346,0.5553549734260346,1,1.3656001177497086,,1.3656001177497086,1.3656001177497086,1,0.4149801516532898,,0.4149801516532898,0.4149801516532898,1,0.0,,0,0,1,643.0,,643.0,643.0,1,0.35759999999993575,,0.35759999999993575,0.35759999999993575,1,153.638428,,153.638428,153.638428,1,,,,,0,,,,,0,,,,,0,0.0036146879439955906,,0.0036146879439955906,0.0036146879439955906,1,0.00888840204580659,,0.00888840204580659,0.00888840204580659,1,0.8636935823110957,,0.8636935823110957,0.8636935823110957,1,2.1237948954116774,,2.1237948954116774,2.1237948954116774,1,1.5530060778135748,,1.5530060778135748,1.5530060778135748,1,3.8187922755871195,,3.8187922755871195,3.8187922755871195,1,0.00027767748671301727,,0.00027767748671301727,0.00027767748671301727,1,1,,,,,,
0.5,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,4000.0,0.7971486012980452,0.0,0.7971486012980452,0.7971486012980452,1,4.753652151118462,0.0,4.753652151118462,4.753652151118462,1,0.22754033982753755,1.6858739420058537e-09,0.22754033982753755,0.22754033982753755,1,5.0,0.0,5,5,1,29302.0,0.0,29302.0,29302.0,1,7.464459999999829,4.2843741293449815,7.464459999999829,7.464459999999829,1,973.315317,168.84536137477988,973.315317,973.315317,1,,,,,0,,,,,0,,,,,0,0.0008190034487025803,0.00044390606634855256,0.0008190034487025803,0.0008190034487025803,1,0.004883979598482433,0.002614271976238343,0.004883979598482433,0.004883979598482433,1,0.02720457993645639,0.0,0.02720457993645639,0.02720457993645639,1,0.162229614057691,0.0,0.162229614057691,0.162229614057691,1,0.10679253439606662,0.038421032339485295,0.10679253439606662,0.10679253439606662,1,0.6368380500556733,0.22627090674718597,0.6368380500556733,0.6368380500556733,1,0.0001992871503245113,0.0,0.0001992871503245113,0.0001992871503245113,1,1,0.0,0.0,0.0,0.0,1.1920928966180355e-09,2.3365020773713496e-09
0.564,fuse_shallow,Fuse Shallow,SNN,conv1d,conv1d,,4512.0,0.7730458162090525,,0.7730458162090525,0.7730458162090525,1,4.398508162048053,,4.398508162048053,4.398508162048053,1,0.09604017595450083,,0.09604017595450083,0.09604017595450083,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,17.548099999999955,,17.548099999999955,17.548099999999955,1,400.423291,,400.423291,400.423291,1,,,,,0,,,,,0,,,,,0,0.0019305715566107081,,0.0019305715566107081,0.0019305715566107081,1,0.010984646150485918,,0.010984646150485918,0.010984646150485918,1,0.13194159689521293,,0.13194159689521293,0.13194159689521293,1,0.7507267728363292,,0.7507267728363292,0.7507267728363292,1,0.04405296392253603,,0.04405296392253603,0.04405296392253603,1,0.2506543820725927,,0.2506543820725927,0.2506543820725927,1,0.00017133107628746733,,0.00017133107628746733,0.00017133107628746733,1,1,,,,,,
0.6666666666666666,mlp_singlehead,SingleHead MLP,SNN,mlp,mlp,,4000.0,0.556551214089836,,0.556551214089836,0.556551214089836,1,1.3578043904382735,,1.3578043904382735,1.3578043904382735,1,0.4023681497573853,,0.4023681497573853,0.4023681497573853,1,0.0,,0,0,1,643.0,,643.0,643.0,1,0.6457800000000624,,0.6457800000000624,0.6457800000000624,1,340.698907,,340.698907,340.698907,1,,,,,0,,,,,0,,,,,0,0.0016335573805930524,,0.0016335573805930524,0.0016335573805930524,1,0.003985350004184996,,0.003985350004184996,0.003985350004184996,1,0.8655539876980342,,0.8655539876980342,0.8655539876980342,1,2.11167090270338,,2.11167090270338,2.11167090270338,1,0.8618278888937133,,0.8618278888937133,0.8618278888937133,1,2.102580430546227,,2.102580430546227,2.102580430546227,1,0.000139137803522459,,0.000139137803522459,0.000139137803522459,1,1,,,,,,
0.75,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,6000.0,0.7964748871856887,,0.7964748871856887,0.7964748871856887,1,4.861267167664946,,4.861267167664946,4.861267167664946,1,0.23713804304599762,,0.23713804304599762,0.23713804304599762,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,8.364099999999919,,8.364099999999919,8.364099999999919,1,1904.221386,,1904.221386,1904.221386,1,,,,,0,,,,,0,,,,,0,0.0004182680086682362,,0.0004182680086682362,0.0004182680086682362,1,0.0025528897025342756,,0.0025528897025342756,0.0025528897025342756,1,0.02718158785017025,,0.02718158785017025,0.02718158785017025,1,0.165902230826051,,0.165902230826051,0.165902230826051,1,0.09522541423293557,,0.09522541423293557,0.09522541423293557,1,0.5812062466571409,,0.5812062466571409,0.5812062466571409,1,0.00013274581453094812,,0.00013274581453094812,0.00013274581453094812,1,1,,,,,,
