train_fraction,model_name,display_name,model_type,family,architecture,config_name,train_samples,macro_corr,macro_corr_std,macro_corr_min,macro_corr_max,macro_corr_count,macro_snr,macro_snr_std,macro_snr_min,macro_snr_max,macro_snr_count,test_loss,test_loss_std,test_loss_min,test_loss_max,test_loss_count,module_count,module_count_std,module_count_min,module_count_max,module_count_count,parameters,parameters_std,parameters_min,parameters_max,parameters_count,inference_time_ms,inference_time_ms_std,inference_time_ms_min,inference_time_ms_max,inference_time_ms_count,training_time_s,training_time_s_std,training_time_s_min,training_time_s_max,training_time_s_count,peak_memory_mb,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,total_flops,total_flops_std,total_flops_min,total_flops_max,total_flops_count,estimated_energy,estimated_energy_std,estimated_energy_min,estimated_energy_max,estimated_energy_count,accuracy_per_training_second,accuracy_per_training_second_std,accuracy_per_training_second_min,accuracy_per_training_second_max,accuracy_per_training_second_count,snr_per_training_second,snr_per_training_second_std,snr_per_training_second_min,snr_per_training_second_max,snr_per_training_second_count,accuracy_per_1000_parameters,accuracy_per_1000_parameters_std,accuracy_per_1000_parameters_min,accuracy_per_1000_parameters_max,accuracy_per_1000_parameters_count,snr_per_1000_parameters,snr_per_1000_parameters_std,snr_per_1000_parameters_min,snr_per_1000_parameters_max,snr_per_1000_parameters_count,accuracy_per_inference_ms,accuracy_per_inference_ms_std,accuracy_per_inference_ms_min,accuracy_per_inference_ms_max,accuracy_per_inference_ms_count,snr_per_inference_ms,snr_per_inference_ms_std,snr_per_inference_ms_min,snr_per_inference_ms_max,snr_per_inference_ms_count,accuracy_per_sample,accuracy_per_sample_std,accuracy_per_sample_min,accuracy_per_sample_max,accuracy_per_sample_count,seed_count,macro_corr_sem,macro_corr_ci95,macro_snr_sem,macro_snr_ci95,test_loss_sem,test_loss_ci95
0.05,tasnet,TasNet,DNN,tasnet,tasnet,,400.0,0.7283832995869368,,0.7283832995869368,0.7283832995869368,1,3.5058580821334213,,3.5058580821334213,3.5058580821334213,1,0.2829969620704651,,0.2829969620704651,0.2829969620704651,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,67.58404000000003,,67.58404000000003,67.58404000000003,1,594.789172,,594.789172,594.789172,1,,,,,0,,,,,0,,,,,0,0.0012246075313337022,,0.0012246075313337022,0.0012246075313337022,1,0.005894286996424039,,0.005894286996424039,0.005894286996424039,1,0.0002909697053752081,,0.0002909697053752081,0.0002909697053752081,1,0.001400496817848717,,0.001400496817848717,0.001400496817848717,1,0.010777445378922841,,0.010777445378922841,0.010777445378922841,1,0.05187405313641238,,0.05187405313641238,0.05187405313641238,1,0.001820958248967342,,0.001820958248967342,0.001820958248967342,1,1,,,,,,
0.06666666666666667,mlp_singlehead,SingleHead MLP,SNN,mlp,mlp,,400.0,0.5524348770256818,,0.5524348770256818,0.5524348770256818,1,1.3307684272074647,,1.3307684272074647,1.3307684272074647,1,0.4124495816230774,,0.4124495816230774,0.4124495816230774,1,0.0,,0,0,1,643.0,,643.0,643.0,1,0.5426400000001053,,0.5426400000001053,0.5426400000001053,1,62.012891,,62.012891,62.012891,1,,,,,0,,,,,0,,,,,0,0.008908387725798524,,0.008908387725798524,0.008908387725798524,1,0.021459545035684025,,0.021459545035684025,0.021459545035684025,1,0.859152219324544,,0.859152219324544,0.859152219324544,1,2.069624303588592,,2.069624303588592,2.069624303588592,1,1.01805041468667,,1.01805041468667,1.01805041468667,1,2.452396482395707,,2.452396482395707,2.452396482395707,1,0.0013810871925642046,,0.0013810871925642046,0.0013810871925642046,1,1,,,,,,
0.1,tasnet,TasNet,DNN,tasnet,tasnet,,800.0,0.8075201050305948,,0.8075201050305948,0.8075201050305948,1,5.164861149745431,,5.164861149745431,5.164861149745431,1,0.22360240817070007,,0.22360240817070007,0.22360240817070007,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,70.56521999999994,,70.56521999999994,70.56521999999994,1,1184.359098,,1184.359098,1184.359098,1,,,,,0,,,,,0,,,,,0,0.000681820324928677,,0.000681820324928677,0.000681820324928677,1,0.0043608911844956605,,0.0043608911844956605,0.0043608911844956605,1,0.000322582748916067,,0.000322582748916067,0.000322582748916067,1,0.0020632243049744942,,0.0020632243049744942,0.0020632243049744942,1,0.011443599340164963,,0.011443599340164963,0.011443599340164963,1,0.07319273077793048,,0.07319273077793048,0.07319273077793048,1,0.0010094001312882434,,0.0010094001312882434,0.0010094001312882434,1,1,,,,,,
0.13333333333333333,mlp_singlehead,SingleHead MLP,SNN,mlp,mlp,,800.0,0.5563302583228422,,0.5563302583228422,0.5563302583228422,1,1.315987354158595,,1.315987354158595,1.315987354158595,1,0.4053985369205475,,0.4053985369205475,0.4053985369205475,1,0.0,,0,0,1,643.0,,643.0,643.0,1,0.7144199999999046,,0.7144199999999046,0.7144199999999046,1,90.5334,,90.5334,90.5334,1,,,,,0,,,,,0,,,,,0,0.006145027783368814,,0.006145027783368814,0.006145027783368814,1,0.014535932088694282,,0.014535932088694282,0.014535932088694282,1,0.8652103550899568,,0.8652103550899568,0.8652103550899568,1,2.0466366316618894,,2.0466366316618894,2.0466366316618894,1,0.7787159630510295,,0.7787159630510295,0.7787159630510295,1,1.8420359930555845,,1.8420359930555845,1.8420359930555845,1,0.0006954128229035528,,0.0006954128229035528,0.0006954128229035528,1,1,,,,,,
0.25,tasnet,TasNet,DNN,tasnet,tasnet,,2000.0,0.8702248242361835,,0.8702248242361835,0.8702248242361835,1,6.65571652504328,,6.65571652504328,6.65571652504328,1,0.18830593943595886,,0.18830593943595886,0.18830593943595886,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,64.11750000000005,,64.11750000000005,64.11750000000005,1,2758.391659,,2758.391659,2758.391659,1,,,,,0,,,,,0,,,,,0,0.00031548269129832936,,0.00031548269129832936,0.00031548269129832936,1,0.0024128975678008604,,0.0024128975678008604,0.0024128975678008604,1,0.0003476316121769793,,0.0003476316121769793,0.0003476316121769793,1,0.0026587812727872696,,0.0026587812727872696,0.0026587812727872696,1,0.013572344901722351,,0.013572344901722351,0.013572344901722351,1,0.10380499122771902,,0.10380499122771902,0.10380499122771902,1,0.00043511241211809175,,0.00043511241211809175,0.00043511241211809175,1,1,,,,,,
0.3333333333333333,mlp_singlehead,SingleHead MLP,SNN,mlp,mlp,,2000.0,0.5553549734260346,,0.5553549734260346,0.5553549734260346,1,1.3656001177497086,,1.3656001177497086,1.3656001177497086,1,0.4149801516532898,,0.4149801516532898,0.4149801516532898,1,0.0,,0,0,1,643.0,,643.0,643.0,1,0.35759999999993575,,0.35759999999993575,0.35759999999993575,1,153.638428,,153.638428,153.638428,1,,,,,0,,,,,0,,,,,0,0.0036146879439955906,,0.0036146879439955906,0.0036146879439955906,1,0.00888840204580659,,0.00888840204580659,0.00888840204580659,1,0.8636935823110957,,0.8636935823110957,0.8636935823110957,1,2.1237948954116774,,2.1237948954116774,2.1237948954116774,1,1.5530060778135748,,1.5530060778135748,1.5530060778135748,1,3.8187922755871195,,3.8187922755871195,3.8187922755871195,1,0.00027767748671301727,,0.00027767748671301727,0.00027767748671301727,1,1,,,,,,
0.5,tasnet,TasNet,DNN,tasnet,tasnet,,4000.0,0.9151321654225762,0.0,0.9151321654225762,0.9151321654225762,1,8.16621640033858,0.0,8.16621640033858,8.16621640033858,1,0.14947033643722535,1.6858739420058537e-09,0.14947033643722535,0.14947033643722535,1,0.0,0.0,0,0,1,2503296.0,0.0,2503296.0,2503296.0,1,65.65286000000015,4.2843741293449815,65.65286000000015,65.65286000000015,1,5170.150694,168.84536137477988,5170.150694,5170.150694,1,,,,,0,,,,,0,,,,,0,0.0001770029965441035,0.00044390606634855256,0.0001770029965441035,0.0001770029965441035,1,0.001579492916872914,0.002614271976238343,0.001579492916872914,0.001579492916872914,1,0.0003655708974977695,0.0,0.0003655708974977695,0.0003655708974977695,1,0.003262185694515783,0.0,0.003262185694515783,0.003262185694515783,1,0.013938953541743257,0.038421032339485295,0.013938953541743257,0.013938953541743257,1,0.12438477775893636,0.22627090674718597,0.12438477775893636,0.12438477775893636,1,0.00022878304135564407,0.0,0.00022878304135564407,0.00022878304135564407,1,1,0.0,0.0,0.0,0.0,1.1920928966180355e-09,2.3365020773713496e-09
0.564,tasnet,TasNet,DNN,tasnet,tasnet,,4512.0,0.9345496932204675,,0.9345496932204675,0.9345496932204675,1,9.322229397256804,,9.322229397256804,9.322229397256804,1,0.02802625800172488,,0.02802625800172488,0.02802625800172488,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,209.92230000000058,,209.92230000000058,209.92230000000058,1,4103.91,,4103.91,4103.91,1,,,,,0,,,,,0,,,,,0,0.00022772178074579306,,0.00022772178074579306,0.00022772178074579306,1,0.0022715482057980812,,0.0022715482057980812,0.0022715482057980812,1,0.00037332768207214314,,0.00037332768207214314,0.00037332768207214314,1,0.0037239820609535606,,0.0037239820609535606,0.0037239820609535606,1,0.004451883831400785,,0.004451883831400785,0.004451883831400785,1,0.04440799951818734,,0.04440799951818734,0.04440799951818734,1,0.0002071253752704937,,0.0002071253752704937,0.0002071253752704937,1,1,,,,,,
0.6666666666666666,mlp_singlehead,SingleHead MLP,SNN,mlp,mlp,,4000.0,0.556551214089836,,0.556551214089836,0.556551214089836,1,1.3578043904382735,,1.3578043904382735,1.3578043904382735,1,0.4023681497573853,,0.4023681497573853,0.4023681497573853,1,0.0,,0,0,1,643.0,,643.0,643.0,1,0.6457800000000624,,0.6457800000000624,0.6457800000000624,1,340.698907,,340.698907,340.698907,1,,,,,0,,,,,0,,,,,0,0.0016335573805930524,,0.0016335573805930524,0.0016335573805930524,1,0.003985350004184996,,0.003985350004184996,0.003985350004184996,1,0.8655539876980342,,0.8655539876980342,0.8655539876980342,1,2.11167090270338,,2.11167090270338,2.11167090270338,1,0.8618278888937133,,0.8618278888937133,0.8618278888937133,1,2.102580430546227,,2.102580430546227,2.102580430546227,1,0.000139137803522459,,0.000139137803522459,0.000139137803522459,1,1,,,,,,
0.75,tasnet,TasNet,DNN,tasnet,tasnet,,6000.0,0.9176189809607689,,0.9176189809607689,0.9176189809607689,1,8.491382118262306,,8.491382118262306,8.491382118262306,1,0.1510607546567917,,0.1510607546567917,0.1510607546567917,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,62.18287999999994,,62.18287999999994,62.18287999999994,1,7414.275981,,7414.275981,7414.275981,1,,,,,0,,,,,0,,,,,0,0.0001237638015245563,,0.0001237638015245563,0.0001237638015245563,1,0.0011452746215574554,,0.0011452746215574554,0.0011452746215574554,1,0.0003665643139927396,,0.0003665643139927396,0.0003665643139927396,1,0.003392080728073031,,0.003392080728073031,0.003392080728073031,1,0.014756778408474645,,0.014756778408474645,0.014756778408474645,1,0.13655498295129326,,0.13655498295129326,0.13655498295129326,1,0.00015293649682679482,,0.00015293649682679482,0.00015293649682679482,1,1,,,,,,
